,index,result,table,_field,_value,_time,derivative
102,102,_result,10,HT_ZI_2180B.PV,-0.11852560833333332,2022-11-17 14:58:00+00:00,1.590111638920998
103,103,_result,10,HT_ZI_2180B.PV,-0.118619,2022-11-17 14:59:00+00:00,1.590111638920998
104,104,_result,10,HT_ZI_2180B.PV,-0.11852946923076922,2022-11-17 15:00:00+00:00,0.0
105,105,_result,10,HT_ZI_2180B.PV,-0.11845703636363637,2022-11-17 15:01:00+00:00,0.0
106,106,_result,10,HT_ZI_2180B.PV,-0.11849542666666667,2022-11-17 15:02:00+00:00,-1.3646645307924068
107,107,_result,10,HT_ZI_2180B.PV,-0.1184753153846154,2022-11-17 15:03:00+00:00,-1.3646645307924068
108,108,_result,10,HT_ZI_2180B.PV,-0.11818029333333334,2022-11-17 15:04:00+00:00,0.0
109,109,_result,10,HT_ZI_2180B.PV,-0.11817359000000002,2022-11-17 15:04:43.297180+00:00,0.0
110,110,_result,11,HT_ZI_2181A.PV,-0.1616571571428571,2022-11-17 14:56:00+00:00,0.0
111,111,_result,11,HT_ZI_2181A.PV,-0.16090885833333335,2022-11-17 14:57:00+00:00,0.0
112,112,_result,11,HT_ZI_2181A.PV,-0.16095314999999996,2022-11-17 14:58:00+00:00,0.31947113643282377
113,113,_result,11,HT_ZI_2181A.PV,-0.16106808,2022-11-17 14:59:00+00:00,0.31947113643282377
114,114,_result,11,HT_ZI_2181A.PV,-0.16122899,2022-11-17 15:00:00+00:00,0.0
115,115,_result,11,HT_ZI_2181A.PV,-0.16117871,2022-11-17 15:01:00+00:00,0.0
116,116,_result,11,HT_ZI_2181A.PV,-0.16097139230769228,2022-11-17 15:02:00+00:00,-1.3638099448005123
117,117,_result,11,HT_ZI_2181A.PV,-0.16114930769230768,2022-11-17 15:03:00+00:00,-1.3638099448005123
118,118,_result,11,HT_ZI_2181A.PV,-0.16134185555555558,2022-11-17 15:04:00+00:00,0.0
119,119,_result,11,HT_ZI_2181A.PV,-0.1611686375,2022-11-17 15:04:43.297180+00:00,0.0
120,120,_result,12,HT_ZI_2181B.PV,-0.14661569333333332,2022-11-17 14:56:00+00:00,0.0
121,121,_result,12,HT_ZI_2181B.PV,-0.1460659222222222,2022-11-17 14:57:00+00:00,0.0
122,122,_result,12,HT_ZI_2181B.PV,-0.146145525,2022-11-17 14:58:00+00:00,1.6743492281099268
123,123,_result,12,HT_ZI_2181B.PV,-0.14613925,2022-11-17 14:59:00+00:00,1.6743492281099268
124,124,_result,12,HT_ZI_2181B.PV,-0.14633409999999997,2022-11-17 15:00:00+00:00,0.0
125,125,_result,12,HT_ZI_2181B.PV,-0.1462622642857143,2022-11-17 15:01:00+00:00,0.0
126,126,_result,12,HT_ZI_2181B.PV,-0.14616169999999998,2022-11-17 15:02:00+00:00,-1.5682683285036487
127,127,_result,12,HT_ZI_2181B.PV,-0.14626368999999997,2022-11-17 15:03:00+00:00,-1.5682683285036487
128,128,_result,12,HT_ZI_2181B.PV,-0.14639157142857143,2022-11-17 15:04:00+00:00,0.0
129,129,_result,12,HT_ZI_2181B.PV,-0.1462047857142857,2022-11-17 15:04:43.297180+00:00,0.0
